match_id,puuid,team_gold,enemy_gold,dragon,win,player_1_kills,player_1_deaths,player_1_assists,player_2_kills,player_2_deaths,player_2_assists,player_3_kills,player_3_deaths,player_3_assists,player_4_kills,player_4_deaths,player_4_assists,player_5_kills,player_5_deaths,player_5_assists,player_6_kills,player_6_deaths,player_6_assists,player_7_kills,player_7_deaths,player_7_assists,player_8_kills,player_8_deaths,player_8_assists,player_9_kills,player_9_deaths,player_9_assists,player_10_kills,player_10_deaths,player_10_assists,gold_diff,total_kills,total_deaths,total_assists,kda_ratio,gold_per_kill
EUW1_7527344693,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14379,14843,2,True,2,1,0,1,3,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-464,4,5,3,1.4,3594.75
EUW1_7527230981,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15752,12929,2,True,0,1,1,3,0,1,1,0,2,0,0,3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823,6,1,9,15.0,2625.3333333333335
EUW1_7527191312,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15769,16717,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,1,3,0,3,3,0,1,3,3,-948,9,11,4,1.1818181818181819,1752.111111111111
EUW1_7527135715,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14048,14105,0,False,1,0,1,3,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57,4,5,2,1.2,3512.0
EUW1_7527104219,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14531,15688,0,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,0,1,2,1,0,1,0,0,2,2,-1157,4,7,4,1.1428571428571428,3632.75
EUW1_7526889584,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13734,13384,1,True,0,0,1,1,0,2,0,1,2,2,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,4,1,8,12.0,3433.5
EUW1_7526441979,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15806,16450,2,True,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,1,1,1,0,0,2,3,0,0,3,2,-644,6,9,5,1.2222222222222223,2634.3333333333335
EUW1_7526408798,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,14912,16363,2,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,2,0,3,0,0,3,2,2,1,2,-1451,4,9,6,1.1111111111111112,3728.0
EUW1_7525814273,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,13510,13758,1,False,1,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-248,2,2,2,2.0,6755.0
EUW1_7525775369,xUrjY8yQu5stPjUKy7TI8j7ZG1yKJf22MsQboIlzccYIXTSflwaoNdmDawUKXnNvVe1hLjhf2G3yxw,15702,14805,0,True,1,2,1,1,2,5,1,0,0,4,0,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,897,8,4,13,5.25,1962.75
